,q1,q2,q3,q4,q5,q6,gender,region
730,2,0,2,1,5,3,1,6
731,3,0,1,2,4,4,2,2
732,0,1,2,2,5,3,1,0
733,2,0,3,1,4,3,1,6
734,1,1,1,1,4,4,1,5
735,4,1,2,2,5,3,1,6
736,3,0,2,2,4,4,2,6
737,3,1,0,0,0,0,0,0
738,3,0,1,1,5,3,2,7
739,1,0,1,1,5,3,1,8
740,2,0,3,1,4,3,1,3
741,4,1,3,1,5,1,1,9
742,2,0,3,1,2,3,1,6
743,3,1,3,1,3,5,1,7
744,3,0,1,1,3,2,1,3
745,1,0,1,1,2,2,1,5
746,3,1,3,1,5,2,1,6
747,2,1,2,1,4,4,2,4
748,2,0,1,1,5,3,1,3
749,3,0,3,2,5,5,2,6
750,3,0,1,1,3,4,1,5
751,2,1,1,1,5,4,1,5
752,1,0,2,2,1,1,2,4
753,2,1,3,1,5,3,1,3
754,1,1,3,1,4,4,1,4
755,3,0,3,1,5,4,2,6
756,0,1,2,2,4,2,1,6
757,2,0,1,1,2,3,1,1
758,1,0,1,1,4,4,2,7
759,2,0,3,1,2,3,2,7
760,1,0,3,1,4,2,1,3
761,3,0,1,1,5,5,1,2
762,3,1,2,2,4,3,2,6
763,3,1,2,2,1,3,1,6
764,1,0,1,1,4,4,1,7
765,1,0,3,1,4,3,1,1
766,1,0,1,1,4,4,1,2
767,2,0,3,2,4,2,2,6
